VPN,VPN Affiliate Link,Honest Marketing,Jurisdiction,Outside 14 Eyes,Transparency Report,Warrant Canary,Logging Policy,Diskless,Open Source Clients,No Analytics,Max Data Encryption,Max Handshake Encryption,OpenVPN,Wireguard,Killswitch,IPV6 Protection,2FA,Audits,1st-Party DNS,Custom DNS,Anon Payment,Anon Registration,1st-Party Servers,P2P Friendly,Multihop,Port Forwarding,Connect on Boot,Helps Privacy Causes,Affiliate Program,Total Servers,Total Countries,Simultaneous Devices,Windows Client,MacOS Client,Linux Client,Android Client,Native F-Droid Client,iOS Client,History,Official web
IVPN,None,Yes,GibraltarðŸ‡¬ðŸ‡®,Yes,Yes,Yes,No Logs,No,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DoH,Cash/XMR/Crypto,Yes,No,Yes,Pro,No,Yes,Yes,No,165,37,7,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ivpn,https://www.ivpn.net
Mullvad,None,Yes,SwedenðŸ‡¸ðŸ‡ª,No,No,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,IPV6,Cash/XMR/Crypto,Yes,Some,Yes,Yes,No,Yes,Yes,No,634,48,5,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/mullvad,https://mullvad.net
ProtonVPN,https://go.getproton.me/SH12P,Yes,SwitzerlandðŸ‡¨ðŸ‡­,Yes,Yes,No,No Logs,No,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IPV4,Cash/Crypto,No,106 (Secure Core),Paid Tiers,Paid Tiers,Paid Tiers,Yes,Yes,Yes,11191,117,10,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/protonvpn,https://protonvpn.com
Windscribe,None,Yes,CanadaðŸ‡¨ðŸ‡¦,No,Yes,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DoH,XMR/Crypto,Yes,Some (Canada),Yes,Yes,Pro/Purchased static IP,Yes,Yes,No,??,69,Unlimited,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/windscribe,https://windscribe.com
AirVPN,None,Yes,ItalyðŸ‡®ðŸ‡¹,No,No,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,XMR/Crypto,Yes,No,Yes,No,Yes,Yes,Yes,Yes,256,23,5,Yes,Yes,GUI,Yes,No,No,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/airvpn,https://airvpn.org
AzireVPN,None,Yes,SwedenðŸ‡¸ðŸ‡ª,No,No,Yes,No Logs,Yes,No,Yes,AES 256,DHE 4096,Yes,Yes,Yes,Yes,No,No,Yes,Yes,XMR/Crypto,Yes,Yes,Yes,??,Yes,??,No,No,76,19,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/azirevpn,https://www.azirevpn.com/
Surfshark,None,No,NetherlandsðŸ‡³ðŸ‡±,No,Yes,Yes,No Logs,Yes,No,No,AES 256,3072-bit Diffie Hellmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,XMR/Crypto,No,No,Yes,Yes,No,Yes,Yes,Yes,3200,100,Unlimited,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/surfshark,https://surfshark.com
NordVPN,None,Yes,PanamaðŸ‡µðŸ‡¦,Yes,Yes,Yes,No Logs,Yes,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,Crypto,No,Some,Yes,Yes,No,Yes,Yes,Yes,6500,113,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/nordvpn,https://nordvpn.com
RiseupVPN,None,Yes,USAðŸ‡ºðŸ‡¸,No,No,Yes,No Logs,??,Yes,Yes,??,??,Yes,No,??,??,No,No,Yes,??,Crypto,Yes,Yes,Yes,No,No,??,Yes,No,16,4,Unlimited,Yes,Yes,GUI,Yes,Yes,No,None,https://riseup.net/en/vpn
VyprVPN,None,Yes,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,No,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,Yes,Yes,No,No,Yes,No,Yes,700,64,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/vyprvpn,https://www.vyprvpn.com
PIA,None,No,USAðŸ‡ºðŸ‡¸,No,Yes,No,No Logs,Yes,Yes,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,Gift Card/Crypto,No,Some,Yes,No,Yes,Yes,Yes,Yes,16500,84,Unlimited,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/private-internet-access,https://www.privateinternetaccess.com
Perfect Privacy,None,No,GermanyðŸ‡©ðŸ‡ª,No,No,Yes,No Logs,Yes,Desktop Only,No,AES 256,RSA 4096,Yes,No,Yes,Yes,No,No,Yes,Yes,Crypto,No,No,Yes,Yes,Yes,Yes,No,Yes,52,23,Unlimited,Yes,Yes,No,Yes,No,No,None,https://www.perfect-privacy.com/
AdGuard VPN,None,Yes,CyprusðŸ‡¨ðŸ‡¾,Yes,No,No,Bandwidth,No,No,Yes,AES 256,??,AdGuard Protocol,AdGuard Protocol,Yes,Yes,Yes,No,Yes,??,Crypto,No,No,??,No,??,??,No,Yes,??,53,10,Yes,Yes,No,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/adguard,https://adguard-vpn.com/en/welcome.html
TorGuard,None,No,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,Yes,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,Yes,No,Yes,??,Gift Card/Crypto,No,No,Yes,No,Yes,Yes,Yes,Yes,3000,68,5,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/torguard,https://torguard.net
OECK,None,Yes,Hong KongðŸ‡­ðŸ‡°,Yes,No,Yes,No Logs,??,No,Yes,AES 256,DHE 4096,Yes,No,Yes,Yes,Yes,No,Yes,??,Cash/Crypto,Yes,Yes,Yes,No,Yes,??,Yes,No,N/A,4,6,Yes,Yes,CLI,Yes,No,Yes,None,https://www.oeck.com/
OVPN,None,Yes,SwedenðŸ‡¸ðŸ‡ª,No,Yes,No,No Logs,Yes,No,No,AES 256,DHE 4096,Yes,Yes,Yes,Yes,No,No,Yes,??,Crypto,Yes,Yes,Yes,Yes,Yes,??,Yes,Yes,32,16,4,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ovpn,https://www.ovpn.com/
CyberGhost,None,No,RomaniaðŸ‡·ðŸ‡´,Yes,Yes,No,No Logs,Yes,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,Some (NoSpy),Yes,No,No,??,No,Yes,9106,91,5,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/cyberghost,https://www.cyberghostvpn.com
ExpressVPN,None,Yes,BVIðŸ‡»ðŸ‡¬,Yes,Yes,No,No Logs,Yes,No,No,AES 256,RSA 4096,Yes,Lightway,Yes,Yes,Yes,Yes,Yes,??,Crypto,No,No,Yes,No,Yes,Yes,Yes,Yes,3000,105,8,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/express-vpn,https://www.expressvpn.com
IPVanish,None,Yes,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,No,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,Yes,No,No,??,Yes,Yes,2200,75,10,Yes,Yes,No,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ip-vanish,https://www.ipvanish.com
TunnelBear,None,Yes,CanadaðŸ‡¨ðŸ‡¦,No,No,No,No Logs,No,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,??,Crypto,No,No,Yes,No,No,??,Yes,Yes,??,47,5,Yes,Yes,No,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/tunnel-bear,https://www.tunnelbear.com
StrongVPN,None,No,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,??,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,No,No,??,No,No,No,No,No,No,??,Yes,Yes,950,30,12,Yes,Yes,No,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/strongvpn,https://strongvpn.com
AstrillVPN,None,No,SeychellesðŸ‡¸ðŸ‡¨,Yes,No,No,Keep Logs,No,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,No,No,??,XMR/Crypto,No,No,Yes,Yes,Yes,??,No,Yes,113,57,5,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/astrill,https://www.astrill.com/
SlickVPN,None,No,USAðŸ‡ºðŸ‡¸,No,No,Yes,No Logs,No,No,No,AES 256,??,Yes,No,Yes,Yes,No,No,Yes,??,Crypto,No,No,Yes,Yes,No,??,No,Yes,150,40,5,Yes,Yes,No,No,No,No,None,https://www.slickvpn.com
Bytz VPN,None,No,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,??,No,No,??,??,Yes,No,No,??,No,No,??,??,Crypto,Yes,No,??,??,??,??,No,No,??,1,6,No,No,No,No,No,No,None,https://bytzvpn.com/ovpn/
PureVPN,None,No,Hong KongðŸ‡­ðŸ‡°,Yes,No,No,Timestamps/Bandwidth,No,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,No,No,No,Yes,??,No,Yes,6500,70,5,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/pure-vpn,https://www.purevpn.com
Ivacy,None,No,SingaporeðŸ‡¸ðŸ‡¬,Yes,No,No,No Logs,No,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,No,Yes,??,No,No,No,Yes,No,Yes,??,No,Yes,6500,60,5,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ivacy-vpn,https://www.ivacy.com
HideMyAss,None,No,UKðŸ‡¬ðŸ‡§,No,No,No,Keep Logs,No,No,No,AES 256,RSA 4096,Yes,No,No,No,No,Yes,Yes,??,No,No,No,Yes,No,No,??,No,Yes,1080,210,5,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/hide-my-ass,https://www.hidemyass.com
hide.me,None,??,MalaysiaðŸ‡²ðŸ‡¾,Yes,Yes,No,No Logs,Yes,Linux only,??,AES 256,RSA 8192,Yes,Yes,Yes,Yes,Yes,Android only,Yes,Yes,XMR/Crypto,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2600,56,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/hideme,https://hide.me
Librem Tunnel,None,??,USAðŸ‡ºðŸ‡¸,No,??,??,??,??,Yes,Yes,??,??,Yes,??,??,??,??,??,??,??,Crypto,??,??,??,??,??,??,Yes,??,??,??,??,No,No,Yes,??,??,??,None,https://librem.one/
cryptostorm,None,Yes,IcelandðŸ‡®ðŸ‡¸,Yes,No,Yes,No Logs,??,Yes,Yes,AES 256,RSA 8192,Yes,Yes,Yes,Yes,No,No,Yes,DNSCrypt,XMR/Crypto,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,387,38,1-6,Yes,No,No,No,No,No,None,https://www.cryptostorm.is
Shock VPN,None,Yes,USAðŸ‡ºðŸ‡¸,No,No,No,No Logs,No,Yes,Yes,AES 256,RSA 4096,No,Yes,No,Yes,No,No,Yes,??,Cash/XMR/Crypto,Yes,Yes,Yes,No,Yes,??,Yes,No,28,8,5,Yes,Yes,GUI,Yes,Yes,Yes,None,https://shockvpn.com
